,Y,Y_lag,nasdaq_change
2006-01-03,,,
2006-01-04,-0.22882819,,0.94646215
2006-01-05,0.0,-0.22882819,0.5578399
2006-01-06,0.45871735,0.0,1.7416358
2006-01-09,0.0,0.45871735,0.39827824
2006-01-10,1.1415482,0.0,0.12170076
2006-01-11,0.67720413,1.1415482,0.8153558
2006-01-12,-0.89685917,0.67720413,-0.61936975
2006-01-13,-1.357466,-0.89685917,-0.03261566
2006-01-17,-0.45871735,-1.357466,-0.5948067
2006-01-18,0.0,-0.45871735,-1.1385679
2006-01-19,0.9216547,0.0,0.77477694
2006-01-20,-0.22831559,0.9216547,-3.0949414
2006-01-23,-0.22882819,-0.22831559,-0.0047683716
2006-01-24,0.9174347,-0.22882819,0.59177876
2006-01-25,2.0454526,0.9174347,-0.5467832
2006-01-26,0.89087486,2.0454526,0.80441236
2006-01-27,-0.22075772,0.89087486,1.2197614
2006-01-30,0.44248104,-0.22075772,0.1367569
2006-01-31,-0.22025704,0.44248104,-0.1575768
2006-02-01,0.88300705,-0.22025704,0.13269186
2006-02-02,0.0,0.88300705,-1.5907586
2006-02-03,-0.6564617,0.0,-1.2599587
2006-02-06,0.22027493,-0.6564617,-0.41993856
2006-02-07,0.4395604,0.22027493,-0.343889
2006-02-08,-0.21882057,0.4395604,1.1278391
2006-02-09,-0.43859482,-0.21882057,-0.981164
2006-02-10,1.101327,-0.43859482,0.5846143
2006-02-13,-0.21787286,1.101327,-1.0770857
2006-02-14,0.873363,-0.21787286,0.97944736
2006-02-15,-0.21644235,0.873363,0.67391396
2006-02-16,-0.43383837,-0.21644235,0.9240031
2006-02-17,-1.0893285,-0.43383837,-0.7935524
2006-02-21,0.66080093,-1.0893285,-1.1658192
2006-02-22,-0.87527037,0.66080093,1.3190985
2006-02-23,0.66224337,-0.87527037,-0.31176805
2006-02-24,0.43859482,0.66224337,0.25174618
2006-02-27,0.21834373,0.43859482,1.1428595
2006-02-28,-0.87146163,0.21834373,-1.4796674
2006-03-01,0.8791208,-0.87146163,1.4372349
2006-03-02,1.0893226,0.8791208,-0.04720688
2006-03-03,0.8620739,1.0893226,-0.55851936
2006-03-06,1.2820482,0.8620739,-0.85375905
2006-03-07,0.0,1.2820482,-0.534147
2006-03-08,-0.21096468,0.0,-0.040340424
2006-03-09,0.21140575,-0.21096468,-0.91908574
2006-03-10,0.4219532,0.21140575,0.190866
2006-03-13,0.21008253,0.4219532,0.33733845
2006-03-14,-1.2578607,0.21008253,1.6543865
2006-03-15,0.4246235,-1.2578607,0.7917166
2006-03-16,-1.6913295,0.4246235,-0.9094298
2006-03-17,0.6451607,-1.6913295,0.39367676
