date,press_neg_title,press_neu_title,press_pos_title,press_compound_title,press_neg_article_text,press_neu_article_text,press_pos_article_text,press_compound_article_text,press_author_bin,press_release_bin,press_number of sentences,press_number of words,press_percentage of nouns,press_percentage of verbs,press_percentage of adjectives,press_percentage of adverbs,press_federal_reserve_board,press_federal_open_market,press_written_agreement,press_term_deposit,press_enforcement_action,press_final_rule,press_approval,press_termination,press_credit,press_results,press_number
2006-01-03,0.0,0.8295,0.1705,0.23835,0.0,0.8979999999999999,0.10200000000000001,0.57925,0.0,0.5,4.0,98.5,0.4320267923592161,0.08484247085090549,0.038824113123294465,0.01079136690647482,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1
2006-01-09,0.0,1.0,0.0,0.0,0.009,0.92,0.071,0.9942,0.0,0.0,32.0,1120.0,0.56875,0.05892857142857143,0.05,0.004464285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2006-01-10,0.0,0.9566666666666667,0.043333333333333335,0.06743333333333333,0.012666666666666666,0.9153333333333333,0.07200000000000001,0.6812999999999999,0.3333333333333333,0.3333333333333333,8.0,216.33333333333334,0.38157318496435216,0.08438774684831468,0.04757773771969356,0.007916478894396875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2006-01-13,0.082,0.651,0.267,0.2897,0.0195,0.841,0.13899999999999998,0.9259,0.5,0.0,7.5,233.0,0.4438170436314448,0.07842335399037403,0.0373556890748372,0.013856994557865928,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1
2006-01-17,0.0,0.659,0.341,0.4767,0.0,0.841,0.159,0.8625,0.0,0.0,3.0,70.0,0.4714285714285714,0.07142857142857142,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
2006-01-19,0.0,0.8295,0.1705,0.23835,0.062,0.7925,0.14600000000000002,0.30625,0.0,0.0,7.0,155.5,0.4488561504371781,0.08063839980836028,0.027907533836387593,0.002066115702479339,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1
2006-01-25,0.109,0.891,0.0,-0.296,0.011,0.938,0.051,0.9217,0.0,0.0,15.0,398.0,0.41457286432160806,0.09296482412060302,0.032663316582914576,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2006-01-26,0.0,0.659,0.341,0.4767,0.0,0.841,0.159,0.8625,0.0,0.0,3.0,73.0,0.4931506849315068,0.0547945205479452,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
2006-01-31,0.0,1.0,0.0,0.0,0.0135,0.9259999999999999,0.0605,0.6001,0.0,0.0,5.5,167.0,0.4504632356878916,0.07189524982595191,0.0540084614148771,0.025491351148717402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2006-02-01,0.0,1.0,0.0,0.0,0.0,0.964,0.036,0.6597,0.0,0.0,6.0,168.0,0.43452380952380953,0.08333333333333333,0.02976190476190476,0.005952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2006-02-03,0.0625,0.88625,0.05125,0.004475000000000007,0.02825,0.88,0.09175,0.77595,0.5,0.0,7.25,291.25,0.41038185210177425,0.0757486415399432,0.06916551590145131,0.013827462515694628,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1
2006-02-06,0.0,0.71,0.29,0.6486,0.006,0.828,0.167,0.9838,0.0,0.0,8.0,249.0,0.3413654618473896,0.13654618473895583,0.13253012048192772,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
2006-02-07,0.0,1.0,0.0,0.0,0.055,0.887,0.058,-0.1531,0.0,0.0,5.0,129.0,0.3953488372093023,0.05426356589147287,0.06976744186046512,0.015503875968992248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2006-02-08,0.0,0.636,0.364,0.5139,0.0,0.8240000000000001,0.17600000000000002,0.7972999999999999,0.0,0.0,2.5,72.0,0.4083333333333333,0.07261904761904761,0.04642857142857143,0.005952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1
2006-02-10,0.0,1.0,0.0,0.0,0.0,0.973,0.027,0.5267,0.0,0.0,7.0,175.0,0.44,0.09142857142857143,0.045714285714285714,0.011428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
