date,speech_neg_title,speech_neu_title,speech_pos_title,speech_compound_title,speech_neg_article_text,speech_neu_article_text,speech_pos_article_text,speech_compound_article_text,speech_chairman,speech_governor,speech_vice,speech_number of sentences,speech_number of words,speech_percentage of nouns,speech_percentage of verbs,speech_percentage of adjectives,speech_percentage of adverbs,speech_federal_fund_rate,speech_monetary_policy,speech_financial_stability,speech_crisis,speech_challenges,speech_risk,speech_number
2006-01-18,0.0,1.0,0.0,0.0,0.026,0.876,0.098,0.9989,0.0,1.0,0.0,95.0,2801.0,0.30846126383434486,0.1203141735094609,0.09389503748661192,0.039271688682613354,0.0,0.0,0.0,0.0,0.0,0.0,1
2006-02-02,0.284,0.541,0.176,-0.2023,0.062,0.788,0.15,0.9997,0.0,1.0,0.0,102.0,2992.0,0.2914438502673797,0.14906417112299467,0.09491978609625669,0.0464572192513369,0.0,0.0,0.0,0.0,1.0,1.0,1
2006-02-06,0.0,1.0,0.0,0.0,0.01,0.802,0.188,0.9986,1.0,0.0,0.0,26.0,647.0,0.27666151468315303,0.10973724884080371,0.061823802163833076,0.04173106646058733,0.0,0.0,0.0,0.0,0.0,0.0,1
2006-02-23,0.0,0.565,0.435,0.5267,0.06,0.77,0.17,0.9999,0.0,0.0,1.0,105.0,2941.0,0.2879972798367902,0.13090785447126826,0.1074464467868072,0.032641958517511054,0.0,0.0,1.0,0.0,1.0,0.0,1
2006-02-24,0.0,0.5755,0.4245,0.3715,0.040999999999999995,0.808,0.151,0.9999,0.5,0.0,0.5,148.0,4181.5,0.2981465367420565,0.11351084103412318,0.09132402646434865,0.036969514460705,0.0,0.0,0.0,0.0,0.0,0.0,2
2006-03-03,0.0,0.641,0.359,0.4215,0.046,0.802,0.153,0.9999,0.0,0.0,1.0,139.0,4051.0,0.2920266600839299,0.1261416934090348,0.10441866205875093,0.05011108368304122,0.0,0.0,0.0,0.0,0.0,0.0,1
2006-03-08,0.0,1.0,0.0,0.0,0.041,0.816,0.144,0.9999,1.0,0.0,0.0,141.0,3667.0,0.2907008453776929,0.12435233160621761,0.10826288519225524,0.03654213253340605,0.0,0.0,0.0,0.0,0.0,0.0,1
2006-03-10,0.0,1.0,0.0,0.0,0.01,0.87,0.12,0.9991,0.0,0.0,1.0,50.0,1832.0,0.31495633187772926,0.11189956331877729,0.10753275109170306,0.02237991266375546,0.0,0.0,0.0,0.0,0.0,0.0,1
2006-03-13,0.0,0.526,0.474,0.4019,0.036,0.83,0.134,0.9998,0.0,1.0,0.0,124.0,3161.0,0.3157228725086998,0.12527681113571654,0.08193609617209743,0.034799114204365704,0.0,0.0,0.0,0.0,0.0,0.0,1
2006-03-16,0.0,0.615,0.385,0.3612,0.078,0.781,0.141,0.9998,0.0,1.0,0.0,173.0,5132.0,0.25506625097427904,0.13600935307872175,0.10756040530007795,0.055533904910366326,0.0,0.0,0.0,0.0,0.0,0.0,1
2006-03-20,0.0,1.0,0.0,0.0,0.043,0.835,0.122,0.9998,1.0,0.0,0.0,134.0,4250.0,0.2727058823529412,0.12047058823529412,0.12117647058823529,0.04258823529411765,0.0,0.0,0.0,0.0,0.0,0.0,1
2006-03-29,0.344,0.656,0.0,-0.2732,0.07,0.802,0.129,0.9997,0.0,1.0,0.0,142.0,4121.0,0.2979859257461781,0.13928658092695947,0.10434360592089299,0.03736957049259888,0.0,0.0,0.0,0.0,0.0,1.0,1
2006-03-31,0.0,1.0,0.0,0.0,0.06999999999999999,0.794,0.1355,0.9996,0.0,0.5,0.5,119.0,3459.5,0.2845111169433667,0.14438193536763566,0.09707630755851672,0.041948975269792355,0.0,0.0,0.0,0.0,0.0,0.0,2
2006-04-03,0.0,0.698,0.302,0.3818,0.066,0.803,0.13,0.9997,0.0,1.0,0.0,139.0,3577.0,0.3013698630136986,0.1302767682415432,0.07464355605255801,0.03522504892367906,0.0,0.0,0.0,0.0,0.0,0.0,1
2006-04-05,0.0,1.0,0.0,0.0,0.003,0.854,0.143,0.9969,1.0,0.0,0.0,25.0,696.0,0.3103448275862069,0.11494252873563218,0.10057471264367816,0.035919540229885055,0.0,0.0,0.0,0.0,0.0,0.0,1
2006-04-06,0.0,0.833,0.167,0.4215,0.027,0.832,0.141,0.9999,0.0,1.0,0.0,216.0,5257.0,0.29998097774396043,0.11051930758988016,0.09530150275822713,0.03176716758607571,0.0,0.0,0.0,0.0,0.0,0.0,1
